title,processed_synopsis
The Secret World of Arrietty,arrietti tini teenag live parent recess suburban home unbeknown homeown housekeep like other kind arrietti remain hidden human host occasion ventur forth beneath floorboard borrow sugar cube suppli secret friendship form shawn meet arrietti relationship could spell danger arrietti famili
Frozen,kingdom becom trap perpetu winter fearless anna kristen bell join forc mountain kristoff jonathan groff reindeer sidekick find anna sister snow queen elsa idina menzel break ici spell although epic journey lead encount mystic troll comed snowman josh gad harsh condit magic everi turn anna kristoff brave push onward race save kingdom winter cold grip
Ralph Breaks the Internet,video game bad guy ralph fellow misfit vanellop von schweetz must risk travel world wide web search replac part save vanellop video game sugar rush way head ralph vanellop reli citizen internet netizen help navig way includ entrepreneur name yesss head algorithm heart soul site buzzztub
The Red Turtle,massiv sea turtl destroy strand man raft everi time tri sail away tropic island
Long Way North,19th centuri young russian girl christa théret embark quest find grandfath north pole
How to Train Your Dragon 2,five year pass sinc hiccup toothless unit dragon vike berk spend time chart island unmap territori one adventur pair discov secret cave hous hundr wild dragon mysteri dragon rider turn hiccup mother valka cate blanchett hiccup toothless find center battl protect berk warrior name drago
Coraline,explor new home girl name coralin dakota fan discov secret door behind lie altern world close mirror mani way better rejoic discoveri mother teri hatcher rest parallel famili tri keep forev coralin must use resourc braveri make back famili life
Ghost in the Shell,japanes anim cyborg feder agent motoko kusanagi mimi wood trail puppet master abe lasser illeg hack computer mind hybrid pursuit man modifi ident stranger leav motoko ponder makeup life might like human trait partner richard georg corner hacker curios ident send case unforeseen direct
The Breadwinner,parvana girl live taliban rule afghanistan wrong arrest father parvana cut hair dress like boy support famili work alongsid friend soon discov new world freedom danger draw strength fantast stori invent parvana embark epic quest find father reunit famili
I Lost My Body,sever hand escap dissect lab determin find bodi
A Shaun the Sheep Movie: Farmageddon,continu adventur shaun sheep friend
The Little Mermaid,disney beguil anim romp rebelli mermaid ariel jodi benson fascin life land one visit surfac forbidden control father king triton fall human princ determin new love ariel make danger deal sea witch ursula pat carrol becom human three day plan go awri lover king must make ultim sacrific daughter
Lady and the Tramp,disney anim classic follow pamper cocker spaniel name ladi barbara luddi whose comfort life slip away owner babi tens circumst ladi find loos street befriend protect tough stray mutt tramp larri robert romanc begin blossom two dog mani differ along drama ladi household threaten keep apart
The Triplets of Belleville,anim film follow elder frenchwoman madam souza becom involv intern intrigu grandson champion profession cyclist kidnap taken abroad join faith dog bruno souza embark journey find champion stumbl across unlik alli form three sister veteran vaudevill stage track champion crimin captor quartet old women use wit tri win day
Big Hero 6,robot prodigi hiro ryan potter live citi san fransokyo next older brother tadashi hiro closest companion baymax scott adsit robot whose sole purpos take care peopl devast turn event throw hiro middl danger plot transform baymax friend go go tamago jami chung wasabi damon wayan honey lemon genesi rodriguez fred miller band hero
My Neighbor Totoro,acclaim anim tale director hayao miyazaki follow schoolgirl satsuk younger sister mei settl old countri hous father wait mother recov ill area hospit sister explor new home encount befriend play spirit hous nearbi forest notabl massiv cudd creatur known totoro
Princess Mononoke,princ becom involv struggl forest princess encroach mechan
Bambi,classic disney anim fawn name bambi join new friend young rabbit name thumper skunk kit name flower happili explor wood bambi captiv young doe name falin learn dote mother father great princ forest besid delight forest danger open meadow hunter see though fear tragedi touch bambi life anoth spring bring renew
Arthur Christmas,everyon know christma santa claus deliv present everi last child earth everyon know santa accomplish feat oper beneath north pole unthink happen santa miss one child hundr million someon save day arthur jame mcavoy santa youngest son deliv present forgotten tyke christma morn dawn
Antz,z worker ant woodi allen strive reconcil individu communal ant coloni fall love bala sharon stone z strive make social inroad must save ant coloni treacher scheme evil general mandibl gene hackman threaten wipe entir worker popul
The LEGO Movie 2: The Second Part,citizen bricksburg face danger new threat lego duplo invad outer space start wreck everyth path battl defeat enemi restor harmoni lego univers take emmet luci batman rest friend faraway unexplor world test courag creativ
A Bug's Life,flik dave foley invent ant alway mess thing coloni latest mishap destroy food store suppos use pay grasshopp hopper kevin spacey insect demand ant gather doubl food face annihil avert disast flik goe journey recruit fighter defend coloni meet band circus insect think found salvat
Mary and Max,lone australian girl toni collett elder jewish man philip seymour hoffman new york develop unlik friendship letter
Ponyo,forbidden excurs see surfac world goldfish princess encount human boy name sosuk give name ponyo ponyo long becom human friendship sosuk grow becom humanlik ponyo father bring back ocean kingdom strong ponyo wish live surfac break free process spill collect magic elixir endang sosuk villag
Klaus,desper postman accident bring genesi santa claus
Teen Titans GO! to the Movies,seem major superhero star movi teen titan robin bound determin remedi situat becom star instead sidekick madcap idea song heart teen titan head hollywood fulfil dream thing soon go awri howev supervillain plan take planet put fate young hero line
Bolt,day canin superstar bolt john travolta fill danger intrigu camera stop roll bolt know tv show think amaz power real bolt accident ship hollywood soundstag mean street new york begin adventur arm delus accompani cat hamster set find owner penni miley cyrus
Tangled,kingdom bandit flynn rider zachari levi hide conveni tower immedi becom captiv rapunzel mandi moor spire longtim resid crown 70 feet magic golden hair lock away year desper want freedom feisti teenag strike deal flynn togeth begin whirlwind adventur
Shrek 2,return honeymoon show home movi friend shrek fiona learn parent heard marri true love wish invit kingdom call far far away catch fiona parent unawar curs struck daughter assum marri princ charm ogr horribl hygien talk donkey pal
